YOS,All Others,Police & Fire,Teachers
1,0.020,0.020,0.020
2,0.020,0.020,0.020
3,0.020,0.020,0.020
4,0.020,0.020,0.020
5,0.020,0.020,0.020
6,0.020,0.020,0.020
7,0.020,0.020,0.020
8,0.020,0.020,0.020
9,0.020,0.020,0.020
10,0.020,0.020,0.020
11,0.023,0.025,0.020
12,0.023,0.025,0.020
13,0.023,0.025,0.020
14,0.023,0.025,0.020
15,0.023,0.025,0.020
16,0.023,0.025,0.020
17,0.023,0.025,0.020
18,0.023,0.025,0.020
19,0.023,0.025,0.020
20,0.023,0.025,0.020
21,0.025,0.025,0.025
22,0.025,0.025,0.025
23,0.025,0.025,0.025
24,0.025,0.025,0.025
25,0.025,0.025,0.025
26,0.025,0.025,0.025
27,0.025,0.025,0.025
28,0.025,0.025,0.025
29,0.025,0.025,0.025
30,0.025,0.025,0.025
